date,cost
2020-07-10,5.562662793705015e-07
2020-07-17,1.2991535290723306e-06
2020-07-24,4.003163128523133e-05
2020-07-31,4.0012828722572874e-05
2020-08-07,1.4019207625739112e-06
2020-08-14,1.595619436179442e-06
2020-08-21,4.218011199172644e-07
2020-08-28,1.7671894223742166e-06
2020-09-04,3.7914786843185816e-06
2020-09-11,2.5021269900483677e-06
2020-09-18,1.6303257501632543e-06
2020-09-25,2.701437044466612e-07
2020-10-02,3.0654781052870224e-07
2020-10-09,1.4144172101425886e-06
2020-10-16,1.0705768711047653e-06
2020-10-23,6.803716385501762e-08
2020-10-30,1.2558532308657974e-06
2020-11-06,1.680534894132122e-06
2020-11-13,3.4119047972186715e-06
2020-11-20,7.679909121933184e-07
2020-11-27,3.272691642374897e-06
2020-12-04,3.458004010805587e-06
2020-12-11,8.787798824951222e-07
2020-12-18,4.981979917353099e-07
2021-01-08,4.68009826369473e-07
2021-01-15,2.4757929184788343e-05
2021-01-22,1.3424195505112679e-06
2021-01-29,1.1983526128321623e-06
2021-02-05,1.1086008040753796e-06
2021-02-12,3.705155714931697e-07
2021-02-19,1.732427448522798e-07
2021-02-26,1.149859195069243e-06
2021-03-05,2.217468941332505e-06
2021-03-12,8.92429487869836e-06
2021-03-19,1.0036831840571456e-05
2021-03-26,9.031016565200746e-06
2021-04-09,1.5913729147139231e-06
2021-04-16,7.66560187118293e-05
2021-04-23,5.481506194692593e-06
2021-04-30,3.232228771829639e-06
2021-05-07,2.6661053703846122e-06
2021-05-14,5.981012868338494e-06
2021-05-21,1.0175712833897462e-06
2021-05-28,3.8658667619003566e-05
2021-06-04,2.3966745539566434e-06
2021-06-11,9.148917688173478e-05
2021-06-18,6.732834401638225e-06
2021-06-25,4.004434456690459e-05
2021-07-02,1.159579315021942e-06
2021-07-09,4.8270534956600355e-06
2021-07-16,3.823730317594014e-06
2021-07-23,7.841231805460869e-06
2021-07-30,7.85597254711826e-06
2021-08-06,1.2379523851174102e-06
2021-08-13,3.922367597599735e-06
2021-08-20,4.009482509146713e-05
2021-08-27,1.4106875027220885e-06
2021-09-03,2.6447380720267107e-06
2021-09-10,5.4065477736812815e-06
2021-09-17,1.3732010162818304e-06
2021-09-24,4.0147647120382435e-06
2021-10-01,2.3635594586108095e-05
2021-10-08,2.4322649590619507e-05
2021-10-15,4.487094839316096e-06
2021-10-22,2.7880933472035066e-06
2021-10-29,3.72627791905355e-05
2021-11-05,1.644521293331853e-05
2021-11-12,2.6955859871678023e-05
2021-11-19,1.168094872190566e-06
2021-11-26,1.715475564402199e-05
2021-12-03,5.666868913466229e-06
2021-12-10,4.085951925836351e-05
2021-12-17,2.27668250393194e-05
2021-12-31,3.2004086111184144e-07
2022-01-07,4.0012007897186e-05
2022-01-14,5.626361703413992e-07
2022-01-21,1.3562244694299336e-07
2022-01-28,4.00003707001094e-05
2022-02-04,3.208148302715315e-05
2022-02-11,4.0019309081632315e-05
2022-02-18,5.786931222041132e-06
2022-02-25,6.067394801153424e-06
2022-03-04,6.179623653898195e-06
2022-03-11,7.077685539246798e-06
2022-03-18,2.6432896682808113e-06
2022-03-25,1.547805500133253e-05
2022-04-01,1.2524991130558878e-06
2022-04-08,4.324069645823259e-06
2022-04-22,2.9587720413099957e-07
2022-04-29,4.972381152658244e-06
2022-05-06,3.8815246347228734e-07
2022-05-13,4.5111907147693965e-06
2022-05-20,5.273515066963222e-06
2022-05-27,5.7779916938364806e-05
2022-06-03,2.6507509655683786e-07
2022-06-10,8.62307935004279e-07
2022-06-17,2.8422859399871755e-05
2022-06-24,1.593223421754513e-05
2022-07-01,1.0413037556758174e-06
2022-07-08,7.392737949624394e-06
2022-07-15,1.9446215737999457e-06
2022-07-22,1.407977975260644e-05
2022-07-29,3.718538797886538e-07
2022-08-05,1.9858569173144795e-05
2022-08-12,6.164077987082978e-07
2022-08-19,7.789402032569881e-07
2022-08-26,5.582475543702673e-07
2022-09-02,3.732624147158411e-07
2022-09-09,4.320489113125603e-06
2022-09-16,4.704731172683292e-08
2022-09-23,2.4539012021776667e-06
2022-09-30,2.8463185547109037e-06
2022-10-07,2.812247278302775e-07
2022-10-14,1.0646573648180459e-06
2022-10-21,2.23552630820346e-06
2022-10-28,1.721906334380379e-06
2022-11-04,1.3771448212483342e-06
2022-11-11,3.9995816200708676e-05
2022-11-18,2.898280002953861e-07
2022-11-25,6.040184542831142e-08
2022-12-02,1.8358517000027717e-06
2022-12-09,1.0013629461025294e-06
2022-12-16,2.278084832757267e-06
2022-12-23,1.244040001806915e-07
2022-12-30,1.758355625342318e-06
2023-01-06,2.730108511001584e-07
2023-01-13,1.0729995943320851e-06
2023-01-20,3.060115848133179e-05
2023-01-27,1.0319848896894371e-06
2023-02-03,4.5854233894340356e-05
2023-02-10,2.5518532556130507e-06
2023-02-17,1.079572402997315e-05
2023-02-24,3.53394966987162e-05
2023-03-03,1.4577399246898391e-06
2023-03-10,4.14821302931486e-07
2023-03-17,1.3142154820603393e-06
2023-03-24,4.000486372227062e-05
2023-03-31,3.717532288256803e-05
2023-04-14,4.000075214768755e-05
2023-04-21,2.739381015909176e-07
2023-04-28,5.619100190670178e-06
2023-05-05,1.226953865756097e-06
2023-05-12,3.0444889734247874e-06
2023-05-19,6.862726263093683e-06
2023-05-26,7.894922067391094e-05
2023-06-02,1.9370482430821737e-06
2023-06-09,1.058059579326265e-08
2023-06-16,2.552577110891793e-06
2023-06-23,3.9856002359600124e-06
2023-06-30,2.098332805874279e-06
2023-07-07,5.565570943418261e-07
2023-07-14,2.9742043853532318e-05
2023-07-21,1.4428083045213143e-06
2023-07-28,5.6308822452186925e-05
2023-08-04,1.5031661788597319e-05
2023-08-11,4.878887715821044e-05
2023-08-18,1.6301574487311196e-07
2023-08-25,1.9451142326264187e-06
2023-09-01,1.803853325291096e-06
2023-09-08,3.8328810812338947e-07
2023-09-15,6.720017478407432e-07
2023-09-22,1.5335173819566488e-06
2023-09-29,4.019267510168546e-06
2023-10-06,1.9705990151922577e-07
2023-10-13,1.864837023907372e-06
2023-10-20,4.0006816447552465e-05
2023-10-27,2.1602280338783723e-06
2023-11-03,5.953171104981799e-06
2023-11-10,7.922277011744526e-07
2023-11-17,6.14897858326914e-06
2023-11-24,2.8253336493356413e-06
2023-12-01,4.5309793290306914e-05
2023-12-08,2.2545093490161916e-06
2023-12-15,5.930165842689723e-06
2023-12-22,4.610607334739652e-06
2023-12-29,2.693959860144163e-06
2024-01-05,1.5012083204341953e-06
2024-01-12,3.533979201886244e-05
2024-01-19,1.1925617255914018e-05
2024-01-26,4.000122699470067e-05
2024-02-02,4.484691583655188e-06
2024-02-09,1.148783888564515e-07
2024-02-16,2.633761255581075e-06
2024-02-23,1.2488563315905044e-05
2024-03-01,1.3515165315302236e-06
2024-03-08,1.4604087036381906e-06
2024-03-15,3.240798927545186e-05
2024-03-22,5.362607105700667e-06
2024-04-05,1.9767339962807954e-06
2024-04-12,3.2750979011925e-05
2024-04-19,4.787852861456556e-06
2024-04-26,2.510578569283167e-05
2024-05-03,4.76416792678969e-06
2024-05-10,6.388638101800892e-07
2024-05-17,1.0734629923125422e-05
2024-05-24,1.8343077700205829e-06
2024-05-31,2.71317866914048e-05
2024-06-07,1.2695022780795862e-06
2024-06-14,4.0017381012550964e-05
2024-06-21,1.7100961596436261e-06
2024-06-28,1.174740509971846e-06
2024-07-05,5.782624053893642e-07
2024-07-12,1.1757134223566898e-06
2024-07-19,4.816279528408487e-07
2024-07-26,1.5605780174574786e-05
2024-08-02,2.284128199517352e-06
2024-08-09,4.164653920003129e-06
2024-08-16,7.331127806829403e-07
2024-08-23,2.99425336209934e-06
2024-08-30,3.766848442478462e-06
2024-09-06,4.871439668706793e-06
2024-09-13,4.2099483879192285e-06
2024-09-20,2.735478940101092e-06
2024-09-27,1.3898301343297496e-06
2024-10-04,2.2552381928867862e-05
2024-10-11,4.0036439140374286e-05
2024-10-18,1.5213307621097695e-06
2024-10-25,2.14235959675295e-05
2024-11-01,2.7068425618705984e-06
2024-11-08,3.3756981020655246e-06
2024-11-15,1.2893795416247855e-05
2024-11-22,2.0872548811636081e-07
2024-11-29,2.140107544013791e-05
2024-12-06,8.414673304712865e-08
2024-12-13,5.814452387630808e-05
2024-12-20,4.6887884823729136e-07
2024-12-27,1.6669461674744974e-06
2025-01-03,1.812614372346586e-07
2025-01-10,1.13174261810719e-07
2025-01-17,2.274244601434759e-07
2025-01-24,4.0070151382045125e-05
2025-01-31,2.4467592627529626e-06
2025-02-07,4.000102560562596e-05
2025-02-14,3.999746891522378e-05
2025-02-21,1.252788504250028e-06
2025-02-28,2.3253641635834106e-07
2025-03-07,8.423837503851555e-06
2025-03-14,4.933698797871462e-06
2025-03-21,1.405842171863026e-06
2025-03-28,4.0310186593699034e-05
2025-04-04,1.136944889216655e-06
2025-04-11,7.947696652982968e-06
2025-04-25,2.1863720035855795e-07
2025-05-02,1.0955480186469508e-07
2025-05-09,5.92194640974009e-07
2025-05-16,2.1828698609875335e-06
2025-05-23,1.10768911261056e-06
2025-05-30,3.783504046683973e-05
2025-06-06,7.453383341376686e-07
2025-06-13,1.209734924084416e-06
2025-06-20,7.620031480540667e-07
2025-06-27,5.029833995337552e-07
2025-07-11,1.473632264382068e-07
2025-07-18,9.349959261776733e-06
2025-07-25,2.1444725023434996e-05
2025-08-01,1.5172290831968149e-06
2025-08-08,6.538956923861654e-08
2025-08-15,2.750932242530378e-05
2025-08-22,2.3149016702422978e-05
2025-08-29,2.2028655853180025e-06
2025-09-05,3.895733723939417e-05
2025-09-12,3.434126344409322e-05
2025-09-19,8.565304368063263e-07
2025-09-26,2.4853713376429895e-08
2025-10-03,4.980456908441239e-07
2025-10-10,2.368603266642793e-06
2025-10-17,1.736830641097375e-06
2025-10-24,5.675566369629398e-07
2025-10-31,8.212268181683554e-07
2025-11-07,2.675520266609468e-06
2025-11-14,5.515579128109253e-06
2025-11-21,3.5752835989544956e-08
2025-11-28,6.413464132741716e-07
2025-12-05,6.235156956194785e-07
2025-12-12,9.90584890669217e-07
2025-12-19,5.055418772341291e-07
