n_days,ann_return,ann_vol,sharpe,max_drawdown,avg_turnover,reg_alpha_daily,reg_beta,reg_r2,rebalance,lam_risk,gamma_turnover,tcost_bps
2255,0.015831980292256447,0.04165115374057084,0.38010904549890306,-0.06948828816770214,0.10825789188254319,5.921514832220564e-05,0.005776238751112134,0.0006585595772555797,W-FRI,5.0,0.5,5
2255,0.013085734417644919,0.04166455569382405,0.31407353804050336,-0.07028256350678486,0.10825789188254319,4.8286581509578335e-05,0.005825463620343551,0.0006694009884790075,W-FRI,5.0,0.5,10
2255,0.007593242668421857,0.04170411205543812,0.18207419590490276,-0.07205335148145431,0.10825789188254319,2.6429447884323685e-05,0.0059239133588063755,0.000690905275282705,W-FRI,5.0,0.5,20
2255,0.0245307453991642,0.0368856860389367,0.6650478283979707,-0.08444525565673566,0.02051613867334668,0.00010292318098078673,-0.008926273012695591,0.002005319010841222,W-FRI,5.0,1.0,1
2255,0.02411438878837214,0.036890017057882016,0.6536833190002496,-0.08486587553459246,0.02051613867334668,0.00010126201148373979,-0.008911935937904703,0.00199841311007809,W-FRI,5.0,1.0,5
2255,0.023593943024882068,0.03689582216855065,0.6394746515499289,-0.08539139834726373,0.02051613867334668,9.918554961243112e-05,-0.008894014594416091,0.0019897575485804397,W-FRI,5.0,1.0,10
2255,0.02255305149790191,0.03690873604935122,0.6110491420715651,-0.08644160438328785,0.02051613867334668,9.503262586981373e-05,-0.008858171907438879,0.0019723715652822937,W-FRI,5.0,1.0,20
2255,-0.00045566951839876187,0.016009884228713793,-0.028461762239449347,-0.06628787146800985,0.0019334036375925122,-9.202566090795497e-07,-0.0014207209297310746,0.000269649763811719,W-FRI,5.0,2.0,1
2255,-0.0004949062090186618,0.01601038445948676,-0.03091157556340948,-0.0664725310862071,0.0019334036375925122,-1.0761054478069578e-06,-0.0014204846343525961,0.0002695432304822276,W-FRI,5.0,2.0,5
2255,-0.0005439520722935356,0.016011025019945543,-0.03397359454600276,-0.06670330571314198,0.0019334036375925122,-1.2709164962161964e-06,-0.0014201892651294983,0.0002694095888265968,W-FRI,5.0,2.0,10
